expense_id,employee_id,date,category,amount,status
EXP00051,TN0325,2026-08-01,Train,4240.41,Pending
EXP00052,TN0297,2026-05-20,Meals,478.16,Rejected
EXP00053,TN0194,2026-04-04,Meals,1245.34,Approved
EXP00054,TN0265,2026-03-06,Cab,2435.78,Approved
EXP00055,TN0265,2026-04-14,Train,4159.29,Pending
EXP00056,TN0250,2026-07-22,Cab,2234.85,Approved
EXP00057,TN0257,2026-08-14,Flight,9318.43,Approved
EXP00058,TN0040,2026-05-12,Internet,921.21,Approved
EXP00059,TN0096,2026-02-10,Train,3169.29,Approved
EXP00060,TN0339,2026-02-28,Cab,2056.26,Rejected
EXP00061,TN0059,2026-05-04,Internet,1218.22,Approved
EXP00062,TN0303,2026-02-11,Internet,1750.05,Approved
EXP00063,TN0125,2026-01-12,Flight,11389.04,Approved
EXP00064,TN0069,2026-06-11,Meals,262.71,Rejected
EXP00065,TN0076,2026-01-15,Flight,6503.02,Approved
EXP00066,TN0265,2026-09-03,Cab,1558.49,Rejected
EXP00067,TN0327,2026-01-05,Internet,1591.96,Pending
EXP00068,TN0485,2026-01-22,Flight,9462.65,Pending
EXP00069,TN0445,2026-05-04,Flight,5900.14,Pending
EXP00070,TN0308,2026-02-06,Office Supplies,3038.44,Approved
EXP00071,TN0320,2026-06-18,Meals,623.23,Rejected
EXP00072,TN0352,2026-03-29,Cab,1551.85,Approved
EXP00073,TN0118,2026-04-07,Cab,460.7,Approved
EXP00074,TN0104,2026-05-14,Office Supplies,4573.89,Rejected
EXP00075,TN0215,2026-07-31,Flight,11885.42,Approved
EXP00076,TN0244,2026-08-19,Meals,1159.7,Rejected
EXP00077,TN0258,2026-07-12,Hotel,1926.88,Rejected
EXP00078,TN0067,2026-08-19,Meals,1062.86,Approved
EXP00079,TN0460,2026-08-29,Office Supplies,3489.23,Pending
EXP00080,TN0268,2026-04-18,Train,4424.19,Rejected
EXP00081,TN0272,2026-04-20,Flight,17045.54,Pending
EXP00082,TN0405,2026-07-16,Cab,973.72,Rejected
EXP00083,TN0465,2026-07-14,Office Supplies,3574.53,Approved
EXP00084,TN0218,2026-02-04,Train,2594.85,Approved
EXP00085,TN0466,2026-08-08,Hotel,3409.48,Rejected
EXP00086,TN0210,2026-03-07,Flight,2584.78,Rejected
EXP00087,TN0405,2026-01-02,Meals,1036.07,Rejected
EXP00088,TN0004,2026-04-07,Internet,808.13,Pending
EXP00089,TN0210,2026-04-03,Hotel,2407.27,Rejected
EXP00090,TN0300,2026-03-06,Train,4332.89,Pending
EXP00091,TN0290,2026-04-04,Meals,640.9,Rejected
EXP00092,TN0204,2026-07-13,Flight,8905.04,Rejected
EXP00093,TN0248,2026-02-15,Train,2971.83,Pending
EXP00094,TN0130,2026-03-20,Meals,750.97,Rejected
EXP00095,TN0204,2026-07-08,Flight,15752.48,Rejected
EXP00096,TN0061,2026-07-11,Flight,9422.22,Rejected
EXP00097,TN0487,2026-02-11,Hotel,2872.77,Pending
EXP00098,TN0403,2026-03-28,Office Supplies,2887.71,Rejected
EXP00099,TN0351,2026-06-30,Hotel,2453.76,Rejected
EXP00100,TN0003,2026-07-25,Hotel,7621.39,Pending
EXP00101,TN0475,2026-06-03,Cab,357.13,Pending
EXP00102,TN0114,2026-04-05,Hotel,5950.43,Rejected
EXP00103,TN0197,2026-08-27,Cab,1592.82,Rejected
EXP00104,TN0147,2026-07-02,Meals,291.94,Approved
EXP00105,TN0328,2026-05-07,Cab,175.17,Rejected
EXP00106,TN0477,2026-07-25,Meals,657.61,Approved
EXP00107,TN0402,2026-06-03,Meals,1025.3,Approved
EXP00108,TN0315,2026-02-13,Internet,554.09,Approved
EXP00109,TN0336,2026-01-01,Flight,3846.06,Pending
EXP00110,TN0400,2026-04-13,Train,3480.45,Pending
EXP00111,TN0301,2026-02-21,Meals,224.59,Rejected
EXP00112,TN0036,2026-08-24,Hotel,5486.82,Rejected
EXP00113,TN0425,2026-05-24,Meals,756.95,Pending
EXP00114,TN0116,2026-06-05,Flight,9548.76,Pending
EXP00115,TN0295,2026-01-02,Train,1205.16,Rejected
EXP00116,TN0055,2026-05-24,Hotel,5124.72,Pending
EXP00117,TN0485,2026-01-30,Office Supplies,2712.45,Pending
EXP00118,TN0449,2026-05-18,Office Supplies,4028.93,Pending
EXP00119,TN0356,2026-04-24,Cab,1473.45,Approved
EXP00120,TN0388,2026-03-28,Office Supplies,2456.59,Pending
EXP00121,TN0460,2026-05-31,Office Supplies,428.55,Approved
EXP00122,TN0133,2026-01-18,Cab,1639.11,Approved
EXP00123,TN0347,2026-06-29,Flight,14902.5,Pending
EXP00124,TN0490,2026-04-01,Meals,1057.04,Rejected
EXP00125,TN0427,2026-03-09,Flight,6952.99,Pending
EXP00126,TN0345,2026-07-11,Office Supplies,1907.37,Rejected
EXP00127,TN0477,2026-02-15,Cab,887.6,Approved
EXP00128,TN0458,2026-05-27,Train,1240.81,Rejected
EXP00129,TN0350,2026-08-27,Flight,10234.49,Approved
EXP00130,TN0121,2026-07-08,Flight,16027.51,Approved
EXP00131,TN0118,2026-02-21,Office Supplies,1473.57,Rejected
EXP00132,TN0183,2026-02-09,Office Supplies,801.44,Approved
EXP00133,TN0347,2026-09-02,Internet,1239.0,Approved
EXP00134,TN0392,2026-08-08,Meals,1732.79,Pending
EXP00135,TN0191,2026-06-08,Train,2664.77,Rejected
EXP00136,TN0445,2026-03-12,Cab,579.75,Rejected
EXP00137,TN0144,2026-04-12,Flight,14127.63,Approved
EXP00138,TN0028,2026-05-15,Office Supplies,2288.93,Rejected
EXP00139,TN0017,2026-05-09,Train,2211.1,Rejected
EXP00140,TN0398,2026-02-14,Cab,2444.79,Rejected
EXP00141,TN0266,2026-04-28,Train,3570.37,Approved
EXP00142,TN0346,2026-02-23,Cab,1515.37,Pending
EXP00143,TN0186,2026-06-06,Office Supplies,1520.59,Rejected
EXP00144,TN0135,2026-03-02,Train,2568.19,Rejected
EXP00145,TN0176,2026-04-04,Flight,10230.94,Approved
EXP00146,TN0215,2026-06-29,Office Supplies,2049.86,Pending
EXP00147,TN0144,2026-04-26,Flight,11356.85,Rejected
EXP00148,TN0352,2026-02-28,Office Supplies,769.39,Pending
EXP00149,TN0412,2026-03-02,Meals,891.55,Pending
EXP00150,TN0101,2026-02-07,Office Supplies,4808.0,Approved
EXP00151,TN0243,2026-07-26,Hotel,2577.54,Pending
EXP00152,TN0069,2026-08-17,Office Supplies,3264.06,Rejected
EXP00153,TN0369,2026-03-22,Office Supplies,2587.11,Pending
EXP00154,TN0288,2026-08-08,Meals,276.33,Approved
EXP00155,TN0354,2026-02-11,Hotel,2880.65,Pending
EXP00156,TN0244,2026-08-03,Internet,644.45,Rejected
EXP00157,TN0172,2026-03-08,Train,2057.41,Rejected
EXP00158,TN0478,2026-07-27,Train,1983.05,Pending
EXP00159,TN0063,2026-03-31,Office Supplies,3494.05,Rejected
EXP00160,TN0102,2026-05-28,Meals,1239.78,Rejected
EXP00161,TN0090,2026-09-08,Office Supplies,1637.66,Pending
EXP00162,TN0345,2026-05-11,Cab,1970.65,Pending
EXP00163,TN0456,2026-01-21,Cab,1592.11,Pending
EXP00164,TN0324,2026-09-02,Flight,15957.99,Rejected
EXP00165,TN0414,2026-08-26,Train,2340.36,Rejected
EXP00166,TN0293,2026-04-14,Office Supplies,4563.24,Approved
EXP00167,TN0083,2026-03-29,Flight,7358.97,Rejected
EXP00168,TN0150,2026-07-01,Train,3184.77,Pending
EXP00169,TN0139,2026-08-16,Cab,1985.29,Pending
EXP00170,TN0383,2026-05-31,Meals,1744.84,Pending
EXP00171,TN0086,2026-02-17,Office Supplies,408.58,Rejected
EXP00172,TN0121,2026-06-19,Train,4726.01,Rejected
EXP00173,TN0384,2026-01-21,Flight,5087.11,Approved
EXP00174,TN0049,2026-01-17,Cab,1438.82,Approved
EXP00175,TN0395,2026-04-12,Meals,1423.99,Approved
EXP00176,TN0054,2026-03-09,Meals,448.44,Rejected
EXP00177,TN0477,2026-08-15,Cab,877.02,Approved
EXP00178,TN0378,2026-03-14,Cab,1622.23,Approved
EXP00179,TN0270,2026-08-03,Flight,2942.86,Rejected
EXP00180,TN0183,2026-08-09,Train,4375.51,Pending
EXP00181,TN0500,2026-08-11,Meals,1695.77,Rejected
EXP00182,TN0228,2026-02-04,Internet,1308.93,Rejected
EXP00183,TN0306,2026-04-27,Internet,1623.37,Rejected
EXP00184,TN0223,2026-05-15,Internet,1459.29,Pending
EXP00185,TN0466,2026-03-30,Cab,1418.22,Approved
EXP00186,TN0227,2026-03-20,Train,2296.14,Approved
EXP00187,TN0156,2026-01-03,Hotel,5281.87,Approved
EXP00188,TN0177,2026-03-15,Cab,1407.48,Rejected
EXP00189,TN0473,2026-05-06,Office Supplies,2542.22,Approved
EXP00190,TN0393,2026-04-21,Office Supplies,1676.74,Approved
EXP00191,TN0408,2026-01-02,Meals,797.83,Pending
EXP00192,TN0452,2026-05-24,Cab,1077.67,Approved
EXP00193,TN0367,2026-07-08,Internet,1084.58,Pending
EXP00194,TN0113,2026-03-09,Hotel,4493.47,Approved
EXP00195,TN0265,2026-07-15,Office Supplies,4576.79,Rejected
EXP00196,TN0351,2026-03-11,Train,3382.9,Rejected
EXP00197,TN0415,2026-03-10,Cab,591.8,Approved
EXP00198,TN0094,2026-02-04,Train,907.64,Pending
EXP00199,TN0317,2026-04-26,Train,3622.17,Pending
EXP00200,TN0097,2026-03-24,Hotel,2386.76,Rejected
EXP00201,TN0012,2026-02-17,Hotel,3400.49,Approved
EXP00202,TN0367,2026-04-23,Internet,512.31,Approved
EXP00203,TN0078,2026-01-04,Cab,660.39,Pending
EXP00204,TN0160,2026-07-21,Office Supplies,2642.46,Pending
EXP00205,TN0238,2026-06-28,Office Supplies,449.16,Approved
EXP00206,TN0432,2026-07-12,Flight,3368.59,Pending
EXP00207,TN0037,2026-05-20,Cab,576.77,Pending
EXP00208,TN0419,2026-04-08,Office Supplies,359.29,Rejected
EXP00209,TN0128,2026-04-09,Office Supplies,4882.37,Approved
EXP00210,TN0378,2026-01-09,Flight,9642.94,Approved
EXP00211,TN0267,2026-06-20,Flight,9828.8,Rejected
EXP00212,TN0493,2026-03-21,Train,1129.61,Rejected
EXP00213,TN0022,2026-07-10,Meals,1033.48,Pending
EXP00214,TN0247,2026-06-13,Train,1314.13,Approved
EXP00215,TN0443,2026-06-20,Flight,17585.75,Approved
EXP00216,TN0325,2026-04-22,Train,469.31,Pending
EXP00217,TN0300,2026-01-31,Cab,2004.49,Approved
EXP00218,TN0497,2026-01-11,Meals,1453.56,Pending
EXP00219,TN0353,2026-06-02,Flight,8256.68,Approved
EXP00220,TN0128,2026-02-10,Cab,364.79,Rejected
EXP00221,TN0174,2026-08-27,Office Supplies,3238.12,Approved
EXP00222,TN0183,2026-06-15,Flight,13370.59,Approved
EXP00223,TN0065,2026-05-05,Flight,7409.46,Rejected
EXP00224,TN0404,2026-06-15,Office Supplies,1932.39,Pending
EXP00225,TN0376,2026-02-19,Hotel,6576.15,Pending
EXP00226,TN0371,2026-02-04,Train,4533.85,Pending
EXP00227,TN0362,2026-04-23,Meals,671.54,Rejected
EXP00228,TN0251,2026-02-18,Meals,498.6,Pending
EXP00229,TN0166,2026-07-07,Cab,797.01,Rejected
EXP00230,TN0469,2026-08-09,Meals,456.55,Rejected
EXP00231,TN0080,2026-04-26,Train,4169.33,Rejected
EXP00232,TN0188,2026-04-27,Hotel,7252.16,Rejected
EXP00233,TN0195,2026-07-07,Flight,16185.45,Rejected
EXP00234,TN0439,2026-04-04,Office Supplies,3214.93,Pending
EXP00235,TN0370,2026-01-17,Internet,1950.74,Pending
EXP00236,TN0098,2026-05-15,Internet,1246.32,Rejected
EXP00237,TN0079,2026-06-06,Train,1883.96,Rejected
EXP00238,TN0165,2026-01-29,Hotel,5280.96,Approved
EXP00239,TN0023,2026-08-02,Flight,5268.9,Approved
EXP00240,TN0104,2026-01-28,Cab,600.3,Approved
EXP00241,TN0293,2026-06-14,Office Supplies,2126.41,Pending
EXP00242,TN0270,2026-06-09,Internet,1385.45,Approved
EXP00243,TN0188,2026-02-26,Meals,1348.55,Approved
EXP00244,TN0477,2026-08-24,Flight,12664.12,Approved
EXP00245,TN0240,2026-07-25,Internet,591.05,Rejected
EXP00246,TN0381,2026-08-29,Cab,2081.76,Rejected
EXP00247,TN0030,2026-07-30,Meals,625.31,Approved
EXP00248,TN0376,2026-01-19,Office Supplies,1728.35,Approved
EXP00249,TN0492,2026-05-13,Hotel,1989.56,Approved
EXP00250,TN0273,2026-04-09,Flight,5493.35,Rejected
EXP00251,TN0128,2026-05-26,Internet,1921.26,Rejected
EXP00252,TN0384,2026-05-23,Cab,1903.35,Rejected
EXP00253,TN0296,2026-04-02,Internet,1188.08,Rejected
EXP00254,TN0219,2026-08-15,Hotel,2501.11,Approved
EXP00255,TN0282,2026-04-13,Meals,740.02,Approved
EXP00256,TN0274,2026-06-03,Cab,2343.77,Pending
EXP00257,TN0282,2026-03-25,Office Supplies,2047.08,Rejected
EXP00258,TN0221,2026-07-31,Internet,985.18,Approved
EXP00259,TN0289,2026-05-20,Flight,8313.48,Rejected
EXP00260,TN0475,2026-07-10,Train,2056.04,Pending
EXP00261,TN0230,2026-09-03,Cab,150.46,Approved
EXP00262,TN0146,2026-06-02,Hotel,5237.35,Pending
EXP00263,TN0004,2026-03-18,Flight,5829.75,Pending
EXP00264,TN0012,2026-07-17,Office Supplies,4733.74,Pending
EXP00265,TN0471,2026-05-22,Meals,1090.12,Rejected
EXP00266,TN0080,2026-01-25,Hotel,4790.88,Approved
EXP00267,TN0071,2026-03-09,Train,4492.28,Approved
EXP00268,TN0120,2026-03-07,Office Supplies,1711.42,Rejected
EXP00269,TN0205,2026-05-26,Flight,13881.12,Rejected
EXP00270,TN0167,2026-07-22,Cab,556.32,Rejected
EXP00271,TN0360,2026-05-28,Office Supplies,4565.98,Rejected
EXP00272,TN0329,2026-03-18,Hotel,6900.16,Rejected
EXP00273,TN0196,2026-01-21,Office Supplies,562.84,Pending
EXP00274,TN0179,2026-08-14,Office Supplies,2341.23,Approved
EXP00275,TN0446,2026-07-17,Flight,14089.02,Rejected
EXP00276,TN0476,2026-01-03,Internet,1666.13,Pending
EXP00277,TN0028,2026-03-20,Meals,265.89,Rejected
EXP00278,TN0290,2026-02-08,Train,2711.05,Approved
EXP00279,TN0079,2026-01-13,Internet,1597.37,Pending
EXP00280,TN0498,2026-04-25,Office Supplies,3097.12,Rejected
EXP00281,TN0047,2026-02-26,Cab,830.99,Pending
EXP00282,TN0076,2026-02-03,Train,779.71,Rejected
EXP00283,TN0382,2026-01-13,Meals,838.71,Approved
EXP00284,TN0205,2026-05-09,Cab,1968.49,Approved
EXP00285,TN0391,2026-02-04,Cab,1464.35,Pending
EXP00286,TN0203,2026-06-16,Meals,513.76,Rejected
EXP00287,TN0377,2026-05-15,Flight,6255.88,Pending
EXP00288,TN0398,2026-04-21,Train,3549.79,Rejected
EXP00289,TN0046,2026-01-29,Internet,1120.37,Pending
EXP00290,TN0179,2026-02-18,Train,1984.81,Rejected
EXP00291,TN0013,2026-07-17,Train,1178.57,Pending
EXP00292,TN0316,2026-07-30,Office Supplies,2378.39,Approved
EXP00293,TN0226,2026-01-12,Office Supplies,1397.4,Rejected
EXP00294,TN0192,2026-02-09,Office Supplies,3723.89,Approved
EXP00295,TN0058,2026-07-09,Hotel,3095.78,Rejected
EXP00296,TN0475,2026-02-07,Office Supplies,4212.49,Pending
EXP00297,TN0008,2026-03-29,Internet,1706.42,Pending
EXP00298,TN0231,2026-05-01,Hotel,3788.64,Rejected
EXP00299,TN0276,2026-02-24,Flight,10969.58,Pending
EXP00300,TN0281,2026-05-04,Meals,1367.88,Approved
EXP00301,TN0356,2026-06-28,Internet,527.58,Rejected
EXP00302,TN0464,2026-06-19,Meals,269.57,Approved
EXP00303,TN0031,2026-03-14,Flight,14732.42,Rejected
EXP00304,TN0139,2026-01-14,Cab,1688.68,Approved
EXP00305,TN0035,2026-04-10,Internet,906.97,Rejected
EXP00306,TN0185,2026-08-10,Hotel,1348.81,Rejected
EXP00307,TN0198,2026-03-01,Cab,1345.07,Rejected
EXP00308,TN0051,2026-08-20,Train,2629.45,Rejected
EXP00309,TN0273,2026-01-23,Flight,5582.57,Pending
EXP00310,TN0288,2026-08-26,Internet,532.23,Approved
EXP00311,TN0473,2026-05-16,Train,1934.42,Pending
EXP00312,TN0382,2026-02-10,Hotel,3904.88,Pending
EXP00313,TN0182,2026-06-10,Train,1486.54,Rejected
EXP00314,TN0142,2026-07-27,Hotel,6081.18,Pending
EXP00315,TN0456,2026-07-28,Hotel,8564.27,Pending
EXP00316,TN0116,2026-02-08,Train,4527.01,Rejected
EXP00317,TN0071,2026-01-23,Internet,1073.31,Rejected
EXP00318,TN0314,2026-08-12,Internet,1529.78,Pending
EXP00319,TN0124,2026-05-27,Flight,9110.21,Pending
EXP00320,TN0466,2026-06-04,Train,2466.18,Approved
EXP00321,TN0106,2026-06-17,Flight,11505.98,Rejected
EXP00322,TN0410,2026-02-21,Office Supplies,949.12,Rejected
EXP00323,TN0362,2026-08-19,Meals,1655.3,Pending
EXP00324,TN0466,2026-09-07,Office Supplies,982.22,Rejected
EXP00325,TN0470,2026-02-10,Train,711.94,Rejected
EXP00326,TN0486,2026-07-04,Hotel,2636.25,Approved
EXP00327,TN0373,2026-01-08,Office Supplies,1797.83,Pending
EXP00328,TN0493,2026-04-16,Train,2437.82,Rejected
EXP00329,TN0478,2026-07-09,Train,1099.0,Approved
EXP00330,TN0055,2026-02-03,Flight,2906.07,Rejected
EXP00331,TN0316,2026-03-10,Meals,1107.27,Approved
EXP00332,TN0306,2026-03-01,Flight,13154.36,Pending
EXP00333,TN0041,2026-06-26,Office Supplies,2540.03,Rejected
EXP00334,TN0434,2026-06-04,Cab,1823.24,Pending
EXP00335,TN0095,2026-08-07,Cab,1304.9,Approved
EXP00336,TN0084,2026-02-19,Flight,2999.56,Approved
EXP00337,TN0474,2026-03-11,Cab,673.0,Rejected
EXP00338,TN0104,2026-07-13,Flight,3525.11,Pending
EXP00339,TN0444,2026-06-07,Cab,1766.48,Pending
EXP00340,TN0455,2026-03-05,Cab,1101.44,Approved
EXP00341,TN0312,2026-07-08,Office Supplies,2087.76,Pending
EXP00342,TN0202,2026-06-06,Internet,1357.9,Rejected
EXP00343,TN0269,2026-06-14,Internet,1680.38,Rejected
EXP00344,TN0056,2026-04-26,Cab,2093.47,Approved
EXP00345,TN0450,2026-03-04,Meals,1060.59,Rejected
EXP00346,TN0021,2026-05-23,Cab,1362.9,Rejected
EXP00347,TN0493,2026-01-13,Flight,7013.28,Pending
EXP00348,TN0453,2026-03-19,Office Supplies,4189.82,Pending
EXP00349,TN0086,2026-04-19,Train,3220.42,Approved
EXP00350,TN0354,2026-05-13,Flight,9685.47,Rejected
EXP00351,TN0232,2026-01-24,Internet,1250.99,Approved
EXP00352,TN0399,2026-05-30,Internet,1319.61,Pending
EXP00353,TN0212,2026-03-24,Cab,208.54,Pending
EXP00354,TN0303,2026-08-18,Internet,1843.69,Pending
EXP00355,TN0047,2026-03-06,Train,3581.9,Rejected
EXP00356,TN0408,2026-02-11,Internet,1599.89,Approved
EXP00357,TN0059,2026-06-30,Cab,1640.07,Approved
EXP00358,TN0269,2026-07-01,Cab,1858.15,Rejected
EXP00359,TN0314,2026-09-01,Flight,8369.52,Pending
EXP00360,TN0023,2026-07-16,Flight,16639.92,Rejected
EXP00361,TN0447,2026-06-18,Office Supplies,1005.42,Approved
EXP00362,TN0092,2026-07-16,Internet,576.97,Pending
EXP00363,TN0159,2026-07-06,Office Supplies,4816.54,Pending
EXP00364,TN0321,2026-02-16,Hotel,8208.63,Approved
EXP00365,TN0002,2026-06-09,Office Supplies,1489.62,Pending
EXP00366,TN0255,2026-08-07,Cab,1427.23,Approved
EXP00367,TN0312,2026-08-14,Cab,709.01,Rejected
EXP00368,TN0338,2026-05-02,Cab,1113.86,Approved
EXP00369,TN0308,2026-06-03,Hotel,3108.76,Rejected
EXP00370,TN0143,2026-06-08,Internet,1336.32,Approved
EXP00371,TN0026,2026-02-17,Flight,3353.49,Pending
EXP00372,TN0019,2026-02-07,Office Supplies,452.43,Rejected
EXP00373,TN0430,2026-06-04,Train,1923.11,Approved
EXP00374,TN0026,2026-01-28,Cab,2485.28,Approved
EXP00375,TN0345,2026-03-14,Meals,1257.48,Rejected
EXP00376,TN0305,2026-05-27,Office Supplies,2942.23,Pending
EXP00377,TN0384,2026-05-29,Train,4684.81,Approved
EXP00378,TN0394,2026-03-18,Train,2095.42,Pending
EXP00379,TN0420,2026-01-18,Office Supplies,2308.42,Rejected
EXP00380,TN0034,2026-03-16,Cab,466.18,Rejected
EXP00381,TN0441,2026-03-12,Train,2824.44,Rejected
EXP00382,TN0108,2026-06-28,Flight,11986.83,Approved
EXP00383,TN0293,2026-07-06,Internet,1293.42,Approved
EXP00384,TN0248,2026-07-05,Internet,1407.17,Rejected
EXP00385,TN0148,2026-04-20,Meals,1556.48,Pending
EXP00386,TN0270,2026-05-28,Meals,766.17,Approved
EXP00387,TN0315,2026-05-25,Cab,1371.31,Rejected
EXP00388,TN0255,2026-05-07,Office Supplies,1145.56,Rejected
EXP00389,TN0120,2026-07-01,Train,4904.59,Approved
EXP00390,TN0061,2026-01-07,Cab,1619.83,Approved
EXP00391,TN0378,2026-08-06,Flight,14893.25,Pending
EXP00392,TN0212,2026-01-12,Train,2008.39,Rejected
EXP00393,TN0109,2026-01-03,Internet,801.78,Pending
EXP00394,TN0131,2026-07-22,Hotel,3600.63,Rejected
EXP00395,TN0282,2026-03-24,Office Supplies,328.82,Rejected
EXP00396,TN0171,2026-03-29,Cab,1852.33,Rejected
EXP00397,TN0492,2026-01-08,Office Supplies,1125.46,Pending
EXP00398,TN0427,2026-03-28,Internet,1218.66,Pending
EXP00399,TN0409,2026-01-10,Internet,703.63,Approved
EXP00400,TN0322,2026-04-28,Office Supplies,2823.75,Pending
EXP00401,TN0237,2026-07-20,Office Supplies,2245.58,Rejected
EXP00402,TN0029,2026-08-02,Meals,678.95,Rejected
EXP00403,TN0348,2026-03-22,Meals,1057.42,Approved
EXP00404,TN0296,2026-06-25,Train,4077.86,Pending
EXP00405,TN0034,2026-09-06,Flight,6847.13,Approved
EXP00406,TN0174,2026-04-07,Internet,1301.41,Approved
EXP00407,TN0293,2026-06-05,Cab,590.34,Approved
EXP00408,TN0443,2026-07-20,Office Supplies,1748.92,Pending
EXP00409,TN0364,2026-01-09,Train,2303.8,Pending
EXP00410,TN0450,2026-03-02,Train,2478.77,Pending
EXP00411,TN0111,2026-05-15,Train,1205.06,Pending
EXP00412,TN0402,2026-01-10,Office Supplies,1249.86,Approved
EXP00413,TN0228,2026-05-10,Hotel,7432.4,Rejected
EXP00414,TN0079,2026-02-18,Train,4648.73,Rejected
EXP00415,TN0448,2026-05-15,Train,3967.45,Approved
EXP00416,TN0394,2026-08-12,Hotel,7612.68,Rejected
EXP00417,TN0347,2026-02-03,Flight,13730.84,Pending
EXP00418,TN0199,2026-07-02,Office Supplies,2755.02,Approved
EXP00419,TN0160,2026-08-27,Hotel,6559.01,Rejected
EXP00420,TN0447,2026-01-23,Train,2547.63,Approved
EXP00421,TN0053,2026-05-14,Office Supplies,3397.23,Pending
EXP00422,TN0012,2026-05-28,Office Supplies,1767.07,Approved
EXP00423,TN0165,2026-02-21,Flight,6941.79,Rejected
EXP00424,TN0164,2026-07-17,Cab,1727.14,Pending
EXP00425,TN0077,2026-02-10,Train,926.52,Rejected
EXP00426,TN0287,2026-05-12,Hotel,2811.3,Pending
EXP00427,TN0282,2026-03-23,Train,1051.16,Rejected
EXP00428,TN0412,2026-03-14,Meals,591.72,Approved
EXP00429,TN0160,2026-06-06,Train,2886.65,Approved
EXP00430,TN0067,2026-01-08,Cab,2272.74,Approved
EXP00431,TN0055,2026-04-09,Hotel,1871.73,Pending
EXP00432,TN0092,2026-06-30,Meals,1626.04,Rejected
EXP00433,TN0429,2026-06-26,Internet,1168.75,Pending
EXP00434,TN0160,2026-03-27,Office Supplies,1231.29,Rejected
EXP00435,TN0415,2026-05-17,Hotel,8794.72,Pending
EXP00436,TN0291,2026-02-03,Hotel,7540.24,Rejected
EXP00437,TN0240,2026-01-25,Cab,879.42,Rejected
EXP00438,TN0364,2026-07-16,Cab,1255.78,Approved
EXP00439,TN0074,2026-08-09,Meals,612.88,Pending
EXP00440,TN0201,2026-02-16,Internet,1875.9,Pending
EXP00441,TN0404,2026-08-09,Train,2485.1,Approved
