asset_id,employee_id,asset_type,asset_name,issue_date,warranty_expiry,status
IT00199,TN0199,Laptop,HP EliteBook 840,2025-01-18,2026-01-18,Assigned
IT00200,TN0200,Keyboard,Dell KB216,2026-01-25,2027-01-25,Assigned
IT00201,TN0201,Keyboard,Dell KB216,2024-12-13,2025-12-13,Assigned
IT00202,TN0202,Mouse,Dell MS116,2025-12-03,2027-12-03,Assigned
IT00203,TN0203,Keyboard,Logitech K120,2025-08-24,2026-08-24,Assigned
IT00204,TN0204,Monitor,Samsung 27-inch,2024-06-06,2026-06-06,Assigned
IT00205,TN0205,Headset,Logitech H390,2025-09-14,2028-09-13,Assigned
IT00206,TN0206,Mouse,Logitech M185,2024-07-28,2026-07-28,Assigned
IT00207,TN0207,Headset,Logitech H390,2025-01-30,2026-01-30,Assigned
IT00208,TN0208,Laptop,MacBook Air M2,2024-12-02,2027-12-02,Assigned
IT00209,TN0209,Keyboard,Logitech K120,2024-04-05,2025-04-05,Assigned
IT00210,TN0210,Headset,Logitech H390,2024-06-30,2025-06-30,Assigned
IT00211,TN0211,Laptop,Dell Latitude 5440,2024-07-10,2025-07-10,Assigned
IT00212,TN0212,Mouse,Logitech M185,2024-10-17,2025-10-17,Assigned
IT00213,TN0213,Keyboard,Logitech K120,2025-11-06,2028-11-05,Assigned
IT00214,TN0214,Mouse,Logitech M185,2024-02-28,2026-02-27,Assigned
IT00215,TN0215,Monitor,LG 24-inch,2024-11-30,2026-11-30,Assigned
IT00216,TN0216,Monitor,Samsung 27-inch,2024-04-23,2025-04-23,Assigned
IT00217,TN0217,Mouse,Logitech M185,2025-05-04,2028-05-03,Assigned
IT00218,TN0218,Mouse,Logitech M185,2024-07-30,2025-07-30,Assigned
IT00219,TN0219,Keyboard,Dell KB216,2025-03-18,2028-03-17,Assigned
IT00220,TN0220,Monitor,LG 24-inch,2025-09-10,2028-09-09,Assigned
IT00221,TN0221,Headset,Logitech H390,2024-07-26,2027-07-26,Assigned
IT00222,TN0222,Keyboard,Logitech K120,2024-07-25,2025-07-25,Assigned
IT00223,TN0223,Mouse,Logitech M185,2024-03-06,2026-03-06,Assigned
IT00224,TN0224,Headset,Logitech H390,2024-12-02,2027-12-02,Assigned
IT00225,TN0225,Mouse,Logitech M185,2025-04-18,2028-04-17,Assigned
IT00226,TN0226,Laptop,MacBook Air M2,2024-10-21,2027-10-21,Assigned
IT00227,TN0227,Keyboard,Dell KB216,2025-12-18,2028-12-17,Assigned
IT00228,TN0228,Mouse,Dell MS116,2025-09-19,2026-09-19,Assigned
IT00229,TN0229,Monitor,Samsung 27-inch,2024-07-02,2027-07-02,Assigned
IT00230,TN0230,Mouse,Logitech M185,2025-04-13,2027-04-13,Assigned
IT00231,TN0231,Headset,Jabra Evolve 20,2024-04-07,2026-04-07,Assigned
IT00232,TN0232,Monitor,Samsung 27-inch,2024-06-10,2026-06-10,Assigned
IT00233,TN0233,Headset,Jabra Evolve 20,2024-10-25,2027-10-25,Assigned
IT00234,TN0234,Monitor,Samsung 27-inch,2025-05-20,2027-05-20,Assigned
IT00235,TN0235,Laptop,Dell Latitude 5440,2025-01-12,2026-01-12,Assigned
IT00236,TN0236,Headset,Logitech H390,2026-02-23,2028-02-23,Assigned
IT00237,TN0237,Mouse,Logitech M185,2024-06-17,2026-06-17,Assigned
IT00238,TN0238,Headset,Jabra Evolve 20,2024-02-15,2026-02-14,Assigned
IT00239,TN0239,Laptop,MacBook Air M2,2025-10-16,2028-10-15,Assigned
IT00240,TN0240,Mouse,Dell MS116,2024-12-17,2027-12-17,Assigned
IT00241,TN0241,Monitor,Dell 24-inch,2025-02-10,2026-02-10,Assigned
IT00242,TN0242,Keyboard,Logitech K120,2024-04-27,2027-04-27,Assigned
IT00243,TN0243,Keyboard,Dell KB216,2025-11-17,2028-11-16,Assigned
IT00244,TN0244,Mouse,Logitech M185,2025-04-17,2026-04-17,Assigned
IT00245,TN0245,Headset,Logitech H390,2025-11-03,2026-11-03,Assigned
IT00246,TN0246,Monitor,Dell 24-inch,2025-04-27,2027-04-27,Assigned
IT00247,TN0247,Monitor,Dell 24-inch,2024-01-19,2027-01-18,Assigned
IT00248,TN0248,Monitor,Samsung 27-inch,2024-10-28,2025-10-28,Assigned
IT00249,TN0249,Mouse,Logitech M185,2024-06-21,2025-06-21,Assigned
IT00250,TN0250,Keyboard,Dell KB216,2024-06-06,2026-06-06,Assigned
IT00251,TN0251,Monitor,Dell 24-inch,2024-08-09,2027-08-09,Assigned
IT00252,TN0252,Headset,Jabra Evolve 20,2024-08-09,2026-08-09,Assigned
IT00253,TN0253,Headset,Jabra Evolve 20,2025-10-18,2028-10-17,Assigned
IT00254,TN0254,Mouse,Dell MS116,2025-12-07,2027-12-07,Assigned
IT00255,TN0255,Laptop,Dell Latitude 5440,2025-09-04,2026-09-04,Assigned
IT00256,TN0256,Mouse,Logitech M185,2026-02-24,2027-02-24,Assigned
IT00257,TN0257,Keyboard,Logitech K120,2024-09-01,2025-09-01,Assigned
IT00258,TN0258,Laptop,Dell Latitude 5440,2025-03-07,2026-03-07,Assigned
IT00259,TN0259,Keyboard,Logitech K120,2024-07-15,2027-07-15,Assigned
IT00260,TN0260,Monitor,Dell 24-inch,2024-04-08,2027-04-08,Assigned
IT00261,TN0261,Monitor,Samsung 27-inch,2024-02-15,2026-02-14,Assigned
IT00262,TN0262,Laptop,HP EliteBook 840,2024-11-30,2026-11-30,Assigned
IT00263,TN0263,Headset,Logitech H390,2024-07-31,2027-07-31,Assigned
IT00264,TN0264,Mouse,Logitech M185,2024-05-03,2025-05-03,Assigned
IT00265,TN0265,Laptop,HP EliteBook 840,2024-12-31,2026-12-31,Assigned
IT00266,TN0266,Laptop,Lenovo ThinkPad E14,2025-02-15,2028-02-15,Assigned
IT00267,TN0267,Laptop,MacBook Air M2,2025-02-02,2026-02-02,Assigned
IT00268,TN0268,Monitor,LG 24-inch,2024-03-08,2027-03-08,Assigned
IT00269,TN0269,Headset,Jabra Evolve 20,2025-01-12,2026-01-12,Assigned
IT00270,TN0270,Monitor,Samsung 27-inch,2025-02-24,2027-02-24,Assigned
IT00271,TN0271,Mouse,Logitech M185,2024-04-14,2027-04-14,Assigned
IT00272,TN0272,Keyboard,Dell KB216,2024-04-07,2027-04-07,Assigned
IT00273,TN0273,Mouse,Logitech M185,2025-11-25,2028-11-24,Assigned
IT00274,TN0274,Keyboard,Dell KB216,2024-06-28,2027-06-28,Assigned
IT00275,TN0275,Mouse,Logitech M185,2024-03-10,2026-03-10,Assigned
IT00276,TN0276,Headset,Logitech H390,2025-08-22,2027-08-22,Assigned
IT00277,TN0277,Headset,Jabra Evolve 20,2025-10-17,2028-10-16,Assigned
IT00278,TN0278,Headset,Jabra Evolve 20,2025-08-24,2028-08-23,Assigned
IT00279,TN0279,Monitor,Dell 24-inch,2024-01-22,2027-01-21,Assigned
IT00280,TN0280,Keyboard,Dell KB216,2024-08-30,2027-08-30,Assigned
IT00281,TN0281,Monitor,Dell 24-inch,2025-09-26,2026-09-26,Assigned
IT00282,TN0282,Monitor,LG 24-inch,2025-01-18,2027-01-18,Assigned
IT00283,TN0283,Monitor,Dell 24-inch,2024-06-04,2026-06-04,Assigned
IT00284,TN0284,Laptop,MacBook Air M2,2024-08-31,2027-08-31,Assigned
IT00285,TN0285,Keyboard,Dell KB216,2024-05-17,2026-05-17,Assigned
IT00286,TN0286,Laptop,Lenovo ThinkPad E14,2025-06-17,2027-06-17,Assigned
IT00287,TN0287,Laptop,Lenovo ThinkPad E14,2024-08-22,2027-08-22,Assigned
IT00288,TN0288,Keyboard,Logitech K120,2024-09-05,2025-09-05,Assigned
IT00289,TN0289,Monitor,Samsung 27-inch,2025-12-04,2028-12-03,Assigned
IT00290,TN0290,Monitor,Samsung 27-inch,2025-09-14,2027-09-14,Assigned
IT00291,TN0291,Keyboard,Logitech K120,2024-07-06,2026-07-06,Assigned
IT00292,TN0292,Laptop,HP EliteBook 840,2025-05-18,2026-05-18,Assigned
IT00293,TN0293,Laptop,HP EliteBook 840,2025-10-11,2026-10-11,Assigned
IT00294,TN0294,Monitor,Samsung 27-inch,2024-04-03,2025-04-03,Assigned
IT00295,TN0295,Headset,Jabra Evolve 20,2024-07-28,2025-07-28,Assigned
IT00296,TN0296,Mouse,Dell MS116,2026-01-12,2028-01-12,Assigned
IT00297,TN0297,Monitor,Dell 24-inch,2026-01-08,2027-01-08,Assigned
IT00298,TN0298,Mouse,Logitech M185,2024-06-29,2027-06-29,Assigned
IT00299,TN0299,Keyboard,Dell KB216,2024-10-19,2027-10-19,Assigned
IT00300,TN0300,Monitor,Dell 24-inch,2024-10-05,2026-10-05,Assigned
IT00301,TN0301,Keyboard,Logitech K120,2025-02-11,2027-02-11,Assigned
IT00302,TN0302,Mouse,Dell MS116,2025-03-27,2027-03-27,Assigned
IT00303,TN0303,Monitor,LG 24-inch,2025-05-08,2026-05-08,Assigned
IT00304,TN0304,Mouse,Logitech M185,2024-03-26,2026-03-26,Assigned
IT00305,TN0305,Headset,Logitech H390,2026-01-14,2027-01-14,Assigned
IT00306,TN0306,Mouse,Dell MS116,2025-04-19,2027-04-19,Assigned
IT00307,TN0307,Keyboard,Dell KB216,2025-01-19,2028-01-19,Assigned
IT00308,TN0308,Laptop,MacBook Air M2,2024-12-07,2025-12-07,Assigned
IT00309,TN0309,Monitor,Dell 24-inch,2024-06-07,2025-06-07,Assigned
IT00310,TN0310,Laptop,Lenovo ThinkPad E14,2025-05-27,2028-05-26,Assigned
IT00311,TN0311,Mouse,Dell MS116,2025-02-18,2027-02-18,Assigned
IT00312,TN0312,Keyboard,Dell KB216,2025-01-28,2027-01-28,Assigned
IT00313,TN0313,Headset,Jabra Evolve 20,2024-03-13,2026-03-13,Assigned
IT00314,TN0314,Laptop,HP EliteBook 840,2025-01-29,2028-01-29,Assigned
IT00315,TN0315,Monitor,LG 24-inch,2026-02-20,2028-02-20,Assigned
IT00316,TN0316,Keyboard,Dell KB216,2025-06-05,2028-06-04,Assigned
IT00317,TN0317,Keyboard,Dell KB216,2025-12-14,2026-12-14,Assigned
IT00318,TN0318,Mouse,Logitech M185,2026-01-23,2027-01-23,Assigned
IT00319,TN0319,Mouse,Logitech M185,2024-02-05,2026-02-04,Assigned
IT00320,TN0320,Monitor,LG 24-inch,2024-09-24,2027-09-24,Assigned
IT00321,TN0321,Monitor,Samsung 27-inch,2024-09-17,2025-09-17,Assigned
IT00322,TN0322,Headset,Jabra Evolve 20,2025-11-09,2026-11-09,Assigned
IT00323,TN0323,Laptop,MacBook Air M2,2026-02-28,2027-02-28,Assigned
IT00324,TN0324,Mouse,Logitech M185,2025-12-24,2028-12-23,Assigned
IT00325,TN0325,Headset,Jabra Evolve 20,2024-07-12,2026-07-12,Assigned
IT00326,TN0326,Mouse,Dell MS116,2024-09-15,2027-09-15,Assigned
IT00327,TN0327,Headset,Logitech H390,2025-06-29,2028-06-28,Assigned
