request_id,employee_id,leave_type,start_date,end_date,status,reason
LR00068,TN0370,Sick Leave,2026-02-04,2026-02-05,Approved,
LR00069,TN0167,Casual Leave,2026-01-15,2026-01-17,Approved,
LR00070,TN0113,Casual Leave,2026-07-07,2026-07-08,Approved,
LR00071,TN0498,Sick Leave,2026-01-05,2026-01-07,Rejected,
LR00072,TN0055,Sick Leave,2026-07-04,2026-07-06,Approved,
LR00073,TN0485,Sick Leave,2026-06-17,2026-06-18,Rejected,
LR00074,TN0310,Earned Leave,2026-05-22,2026-05-22,Pending,
LR00075,TN0167,Sick Leave,2026-03-10,2026-03-10,Rejected,
LR00076,TN0414,Casual Leave,2026-08-08,2026-08-09,Approved,
LR00077,TN0119,Earned Leave,2026-07-06,2026-07-08,Approved,
LR00078,TN0076,Casual Leave,2026-08-19,2026-08-20,Approved,
LR00079,TN0093,Casual Leave,2026-04-28,2026-04-28,Pending,
LR00080,TN0292,Casual Leave,2026-05-06,2026-05-08,Rejected,
LR00081,TN0145,Casual Leave,2026-01-06,2026-01-07,Pending,
LR00082,TN0419,Sick Leave,2026-04-11,2026-04-13,Pending,
LR00083,TN0036,Earned Leave,2026-02-06,2026-02-06,Pending,
LR00084,TN0233,Earned Leave,2026-08-21,2026-08-23,Pending,
LR00085,TN0371,Sick Leave,2026-05-15,2026-05-15,Pending,
LR00086,TN0309,Earned Leave,2026-01-26,2026-01-27,Pending,
LR00087,TN0057,Sick Leave,2026-07-31,2026-07-31,Pending,
LR00088,TN0068,Earned Leave,2026-03-05,2026-03-05,Pending,
LR00089,TN0481,Casual Leave,2026-06-10,2026-06-12,Pending,
LR00090,TN0491,Sick Leave,2026-07-22,2026-07-22,Rejected,
LR00091,TN0419,Casual Leave,2026-03-28,2026-03-30,Pending,
LR00092,TN0072,Earned Leave,2026-05-03,2026-05-05,Pending,
LR00093,TN0158,Casual Leave,2026-03-26,2026-03-27,Pending,
LR00094,TN0029,Earned Leave,2026-05-20,2026-05-22,Rejected,
LR00095,TN0279,Casual Leave,2026-02-01,2026-02-01,Pending,
LR00096,TN0279,Sick Leave,2026-03-17,2026-03-17,Approved,
LR00097,TN0073,Casual Leave,2026-01-01,2026-01-01,Pending,
LR00098,TN0219,Earned Leave,2026-04-09,2026-04-09,Rejected,
LR00099,TN0147,Earned Leave,2026-02-27,2026-03-01,Rejected,
LR00100,TN0453,Earned Leave,2026-07-03,2026-07-03,Pending,
LR00101,TN0057,Earned Leave,2026-02-27,2026-02-27,Approved,
LR00102,TN0040,Casual Leave,2026-06-07,2026-06-08,Approved,
LR00103,TN0473,Casual Leave,2026-08-25,2026-08-25,Rejected,
LR00104,TN0078,Sick Leave,2026-02-15,2026-02-16,Approved,
LR00105,TN0308,Earned Leave,2026-02-16,2026-02-18,Pending,
LR00106,TN0458,Earned Leave,2026-06-20,2026-06-22,Rejected,
LR00107,TN0419,Casual Leave,2026-03-15,2026-03-16,Approved,
LR00108,TN0470,Earned Leave,2026-05-08,2026-05-10,Approved,
LR00109,TN0416,Casual Leave,2026-08-21,2026-08-23,Pending,
LR00110,TN0442,Sick Leave,2026-08-27,2026-08-27,Pending,
LR00111,TN0164,Earned Leave,2026-02-07,2026-02-08,Rejected,
LR00112,TN0408,Casual Leave,2026-07-21,2026-07-22,Pending,
LR00113,TN0296,Earned Leave,2026-04-20,2026-04-22,Pending,
LR00114,TN0047,Casual Leave,2026-03-24,2026-03-24,Approved,
LR00115,TN0181,Earned Leave,2026-03-23,2026-03-24,Approved,
LR00116,TN0356,Sick Leave,2026-09-07,2026-09-08,Rejected,
LR00117,TN0171,Casual Leave,2026-02-05,2026-02-07,Approved,
LR00118,TN0215,Sick Leave,2026-05-21,2026-05-22,Rejected,
LR00119,TN0253,Casual Leave,2026-05-17,2026-05-19,Approved,
LR00120,TN0043,Earned Leave,2026-05-29,2026-05-31,Rejected,
LR00121,TN0296,Sick Leave,2026-07-18,2026-07-20,Pending,
LR00122,TN0360,Earned Leave,2026-01-23,2026-01-23,Pending,
LR00123,TN0105,Earned Leave,2026-08-06,2026-08-06,Rejected,
LR00124,TN0243,Casual Leave,2026-09-03,2026-09-03,Pending,
LR00125,TN0467,Casual Leave,2026-03-31,2026-04-01,Approved,
LR00126,TN0236,Earned Leave,2026-02-06,2026-02-08,Pending,
LR00127,TN0108,Casual Leave,2026-07-31,2026-07-31,Rejected,
LR00128,TN0071,Sick Leave,2026-01-31,2026-02-02,Pending,
LR00129,TN0194,Sick Leave,2026-07-07,2026-07-07,Approved,
LR00130,TN0191,Casual Leave,2026-01-14,2026-01-16,Rejected,
LR00131,TN0298,Sick Leave,2026-01-19,2026-01-20,Pending,
LR00132,TN0016,Casual Leave,2026-02-07,2026-02-08,Pending,
LR00133,TN0126,Sick Leave,2026-01-20,2026-01-20,Approved,
LR00134,TN0077,Earned Leave,2026-07-15,2026-07-15,Rejected,
LR00135,TN0072,Sick Leave,2026-07-11,2026-07-13,Approved,
LR00136,TN0241,Earned Leave,2026-04-16,2026-04-18,Approved,
LR00137,TN0401,Casual Leave,2026-06-15,2026-06-17,Approved,
LR00138,TN0057,Sick Leave,2026-02-09,2026-02-09,Pending,
LR00139,TN0310,Sick Leave,2026-07-12,2026-07-12,Pending,
LR00140,TN0006,Sick Leave,2026-04-12,2026-04-13,Approved,
LR00141,TN0284,Sick Leave,2026-07-02,2026-07-03,Rejected,
LR00142,TN0157,Earned Leave,2026-07-01,2026-07-01,Pending,
LR00143,TN0140,Sick Leave,2026-09-07,2026-09-07,Approved,
LR00144,TN0487,Casual Leave,2026-02-02,2026-02-04,Approved,
LR00145,TN0317,Earned Leave,2026-01-15,2026-01-15,Pending,
LR00146,TN0422,Sick Leave,2026-07-10,2026-07-12,Pending,
LR00147,TN0419,Earned Leave,2026-06-27,2026-06-28,Approved,
LR00148,TN0335,Earned Leave,2026-06-14,2026-06-15,Pending,
LR00149,TN0028,Sick Leave,2026-07-25,2026-07-26,Approved,
LR00150,TN0100,Casual Leave,2026-03-11,2026-03-11,Pending,
LR00151,TN0186,Casual Leave,2026-06-04,2026-06-05,Pending,
LR00152,TN0145,Casual Leave,2026-02-11,2026-02-13,Pending,
LR00153,TN0109,Earned Leave,2026-06-02,2026-06-02,Pending,
LR00154,TN0283,Casual Leave,2026-02-21,2026-02-23,Pending,
LR00155,TN0138,Sick Leave,2026-01-22,2026-01-24,Pending,
LR00156,TN0289,Casual Leave,2026-07-22,2026-07-23,Pending,
LR00157,TN0162,Casual Leave,2026-01-24,2026-01-25,Approved,
LR00158,TN0385,Sick Leave,2026-03-14,2026-03-15,Pending,
LR00159,TN0162,Sick Leave,2026-07-12,2026-07-13,Approved,
LR00160,TN0499,Sick Leave,2026-02-03,2026-02-05,Pending,
LR00161,TN0170,Sick Leave,2026-04-15,2026-04-17,Pending,
LR00162,TN0258,Casual Leave,2026-07-26,2026-07-26,Rejected,
LR00163,TN0408,Sick Leave,2026-04-08,2026-04-09,Pending,
LR00164,TN0149,Sick Leave,2026-02-11,2026-02-11,Approved,
LR00165,TN0041,Casual Leave,2026-08-15,2026-08-17,Rejected,
LR00166,TN0119,Sick Leave,2026-08-15,2026-08-15,Rejected,
LR00167,TN0073,Casual Leave,2026-07-16,2026-07-18,Rejected,
LR00168,TN0265,Sick Leave,2026-07-06,2026-07-08,Rejected,
LR00169,TN0477,Earned Leave,2026-07-16,2026-07-17,Pending,
LR00170,TN0174,Sick Leave,2026-03-16,2026-03-17,Approved,
LR00171,TN0021,Sick Leave,2026-08-17,2026-08-19,Approved,
LR00172,TN0123,Sick Leave,2026-02-23,2026-02-25,Pending,
LR00173,TN0491,Sick Leave,2026-02-09,2026-02-11,Approved,
LR00174,TN0050,Casual Leave,2026-07-26,2026-07-26,Approved,
LR00175,TN0281,Earned Leave,2026-08-11,2026-08-11,Pending,
LR00176,TN0233,Earned Leave,2026-03-22,2026-03-22,Pending,
LR00177,TN0035,Earned Leave,2026-03-13,2026-03-15,Approved,
LR00178,TN0046,Sick Leave,2026-01-19,2026-01-19,Approved,
LR00179,TN0133,Earned Leave,2026-05-02,2026-05-03,Rejected,
LR00180,TN0474,Sick Leave,2026-02-05,2026-02-05,Approved,
LR00181,TN0021,Earned Leave,2026-04-04,2026-04-05,Approved,
LR00182,TN0439,Casual Leave,2026-06-08,2026-06-10,Approved,
LR00183,TN0188,Earned Leave,2026-05-12,2026-05-14,Approved,
LR00184,TN0043,Sick Leave,2026-06-24,2026-06-25,Approved,
LR00185,TN0135,Casual Leave,2026-08-13,2026-08-15,Rejected,
LR00186,TN0330,Casual Leave,2026-01-15,2026-01-17,Rejected,
LR00187,TN0421,Casual Leave,2026-05-24,2026-05-24,Pending,
LR00188,TN0149,Sick Leave,2026-04-07,2026-04-07,Approved,
LR00189,TN0438,Earned Leave,2026-01-19,2026-01-19,Approved,
LR00190,TN0343,Earned Leave,2026-01-24,2026-01-25,Approved,
LR00191,TN0329,Casual Leave,2026-05-17,2026-05-18,Pending,
LR00192,TN0093,Earned Leave,2026-07-07,2026-07-07,Approved,
LR00193,TN0103,Casual Leave,2026-04-13,2026-04-14,Approved,
LR00194,TN0176,Casual Leave,2026-06-04,2026-06-05,Rejected,
LR00195,TN0380,Earned Leave,2026-05-02,2026-05-02,Approved,
LR00196,TN0020,Earned Leave,2026-05-20,2026-05-20,Pending,
LR00197,TN0328,Sick Leave,2026-02-24,2026-02-25,Pending,
LR00198,TN0308,Casual Leave,2026-07-18,2026-07-19,Approved,
LR00199,TN0405,Casual Leave,2026-04-21,2026-04-22,Pending,
LR00200,TN0109,Sick Leave,2026-08-11,2026-08-11,Approved,
LR00201,TN0139,Casual Leave,2026-03-06,2026-03-08,Pending,
LR00202,TN0073,Earned Leave,2026-01-18,2026-01-19,Pending,
LR00203,TN0153,Earned Leave,2026-08-12,2026-08-14,Approved,
LR00204,TN0269,Earned Leave,2026-02-24,2026-02-26,Pending,
LR00205,TN0426,Earned Leave,2026-01-14,2026-01-14,Approved,
LR00206,TN0494,Casual Leave,2026-07-12,2026-07-13,Pending,
LR00207,TN0179,Earned Leave,2026-08-30,2026-08-31,Approved,
LR00208,TN0275,Sick Leave,2026-06-26,2026-06-26,Approved,
LR00209,TN0182,Sick Leave,2026-08-22,2026-08-24,Approved,
LR00210,TN0422,Sick Leave,2026-01-03,2026-01-05,Pending,
LR00211,TN0040,Sick Leave,2026-07-05,2026-07-07,Rejected,
LR00212,TN0075,Sick Leave,2026-03-24,2026-03-26,Rejected,
LR00213,TN0423,Earned Leave,2026-07-08,2026-07-10,Pending,
LR00214,TN0078,Casual Leave,2026-08-18,2026-08-19,Approved,
LR00215,TN0443,Sick Leave,2026-03-23,2026-03-23,Approved,
LR00216,TN0135,Casual Leave,2026-05-14,2026-05-16,Approved,
LR00217,TN0483,Sick Leave,2026-08-02,2026-08-02,Approved,
LR00218,TN0328,Casual Leave,2026-09-06,2026-09-08,Pending,
LR00219,TN0112,Earned Leave,2026-07-10,2026-07-10,Rejected,
LR00220,TN0280,Sick Leave,2026-07-18,2026-07-18,Approved,
LR00221,TN0111,Casual Leave,2026-03-31,2026-03-31,Rejected,
LR00222,TN0296,Earned Leave,2026-09-02,2026-09-02,Approved,
LR00223,TN0009,Sick Leave,2026-03-19,2026-03-20,Pending,
LR00224,TN0359,Earned Leave,2026-05-08,2026-05-10,Approved,
LR00225,TN0211,Sick Leave,2026-04-01,2026-04-02,Approved,
LR00226,TN0268,Casual Leave,2026-09-07,2026-09-08,Pending,
LR00227,TN0235,Casual Leave,2026-04-20,2026-04-21,Rejected,
LR00228,TN0305,Earned Leave,2026-02-11,2026-02-13,Approved,
LR00229,TN0146,Sick Leave,2026-08-05,2026-08-07,Rejected,
LR00230,TN0224,Sick Leave,2026-06-12,2026-06-13,Rejected,
LR00231,TN0481,Casual Leave,2026-08-25,2026-08-25,Pending,
LR00232,TN0046,Sick Leave,2026-06-16,2026-06-16,Approved,
LR00233,TN0054,Sick Leave,2026-05-08,2026-05-10,Rejected,
LR00234,TN0052,Sick Leave,2026-06-12,2026-06-13,Rejected,
LR00235,TN0413,Earned Leave,2026-01-09,2026-01-11,Approved,
LR00236,TN0109,Sick Leave,2026-02-27,2026-02-28,Approved,
LR00237,TN0059,Casual Leave,2026-02-20,2026-02-21,Approved,
LR00238,TN0496,Earned Leave,2026-07-23,2026-07-24,Rejected,
LR00239,TN0361,Earned Leave,2026-07-20,2026-07-22,Pending,
LR00240,TN0482,Sick Leave,2026-04-06,2026-04-06,Approved,
LR00241,TN0138,Earned Leave,2026-08-14,2026-08-16,Approved,
LR00242,TN0430,Sick Leave,2026-08-20,2026-08-21,Pending,
LR00243,TN0003,Casual Leave,2026-08-19,2026-08-20,Pending,
LR00244,TN0014,Sick Leave,2026-02-09,2026-02-10,Rejected,
LR00245,TN0308,Casual Leave,2026-03-23,2026-03-24,Rejected,
LR00246,TN0221,Earned Leave,2026-03-03,2026-03-05,Pending,
LR00247,TN0316,Casual Leave,2026-06-14,2026-06-15,Rejected,
LR00248,TN0220,Earned Leave,2026-02-02,2026-02-04,Rejected,
LR00249,TN0089,Sick Leave,2026-04-14,2026-04-15,Pending,
LR00250,TN0224,Sick Leave,2026-03-01,2026-03-01,Pending,
LR00251,TN0259,Sick Leave,2026-01-31,2026-02-02,Approved,
LR00252,TN0432,Earned Leave,2026-07-15,2026-07-17,Rejected,
LR00253,TN0082,Casual Leave,2026-08-31,2026-09-01,Pending,
LR00254,TN0048,Casual Leave,2026-01-07,2026-01-08,Rejected,
LR00255,TN0395,Casual Leave,2026-06-01,2026-06-01,Rejected,
LR00256,TN0363,Sick Leave,2026-05-20,2026-05-20,Approved,
LR00257,TN0013,Casual Leave,2026-07-10,2026-07-12,Approved,
LR00258,TN0325,Casual Leave,2026-06-11,2026-06-12,Pending,
LR00259,TN0335,Earned Leave,2026-08-18,2026-08-18,Pending,
LR00260,TN0275,Sick Leave,2026-08-04,2026-08-04,Approved,
LR00261,TN0395,Casual Leave,2026-03-08,2026-03-10,Approved,
LR00262,TN0043,Sick Leave,2026-08-28,2026-08-28,Pending,
LR00263,TN0327,Casual Leave,2026-05-29,2026-05-29,Approved,
LR00264,TN0475,Casual Leave,2026-06-02,2026-06-02,Pending,
LR00265,TN0145,Casual Leave,2026-03-09,2026-03-09,Pending,
LR00266,TN0254,Casual Leave,2026-08-05,2026-08-06,Approved,
LR00267,TN0052,Earned Leave,2026-05-06,2026-05-06,Pending,
LR00268,TN0250,Casual Leave,2026-09-03,2026-09-05,Pending,
LR00269,TN0352,Earned Leave,2026-04-18,2026-04-19,Rejected,
LR00270,TN0466,Casual Leave,2026-04-26,2026-04-26,Approved,
LR00271,TN0006,Sick Leave,2026-08-20,2026-08-20,Rejected,
LR00272,TN0324,Casual Leave,2026-06-05,2026-06-05,Approved,
LR00273,TN0178,Sick Leave,2026-05-04,2026-05-06,Rejected,
LR00274,TN0003,Sick Leave,2026-02-10,2026-02-12,Approved,
LR00275,TN0475,Sick Leave,2026-02-01,2026-02-01,Pending,
LR00276,TN0275,Sick Leave,2026-01-06,2026-01-08,Pending,
LR00277,TN0111,Casual Leave,2026-08-10,2026-08-11,Pending,
LR00278,TN0016,Casual Leave,2026-03-25,2026-03-25,Pending,
LR00279,TN0373,Earned Leave,2026-06-27,2026-06-27,Approved,
LR00280,TN0247,Earned Leave,2026-02-21,2026-02-21,Rejected,
LR00281,TN0283,Earned Leave,2026-06-16,2026-06-17,Rejected,
LR00282,TN0415,Sick Leave,2026-05-07,2026-05-08,Approved,
LR00283,TN0473,Casual Leave,2026-02-19,2026-02-20,Pending,
LR00284,TN0352,Earned Leave,2026-08-05,2026-08-07,Approved,
LR00285,TN0053,Earned Leave,2026-05-30,2026-06-01,Pending,
LR00286,TN0407,Earned Leave,2026-02-22,2026-02-24,Approved,
LR00287,TN0453,Sick Leave,2026-04-25,2026-04-26,Rejected,
LR00288,TN0140,Sick Leave,2026-07-28,2026-07-29,Pending,
LR00289,TN0311,Casual Leave,2026-04-09,2026-04-10,Rejected,
LR00290,TN0181,Casual Leave,2026-04-06,2026-04-08,Approved,
LR00291,TN0086,Sick Leave,2026-08-16,2026-08-16,Approved,
LR00292,TN0301,Sick Leave,2026-04-15,2026-04-16,Rejected,
LR00293,TN0487,Earned Leave,2026-09-05,2026-09-07,Approved,
LR00294,TN0016,Earned Leave,2026-01-30,2026-01-30,Approved,
LR00295,TN0405,Casual Leave,2026-02-17,2026-02-18,Pending,
LR00296,TN0111,Earned Leave,2026-06-18,2026-06-19,Pending,
LR00297,TN0400,Casual Leave,2026-03-22,2026-03-22,Approved,
LR00298,TN0353,Earned Leave,2026-01-03,2026-01-05,Pending,
LR00299,TN0239,Casual Leave,2026-05-26,2026-05-27,Rejected,
LR00300,TN0034,Sick Leave,2026-04-09,2026-04-10,Pending,
LR00301,TN0270,Sick Leave,2026-02-25,2026-02-25,Approved,
LR00302,TN0367,Casual Leave,2026-06-05,2026-06-07,Rejected,
LR00303,TN0458,Sick Leave,2026-06-15,2026-06-16,Approved,
LR00304,TN0163,Casual Leave,2026-07-28,2026-07-29,Pending,
LR00305,TN0026,Earned Leave,2026-07-25,2026-07-26,Pending,
LR00306,TN0141,Casual Leave,2026-04-18,2026-04-18,Approved,
LR00307,TN0088,Sick Leave,2026-06-03,2026-06-04,Approved,
LR00308,TN0122,Earned Leave,2026-05-28,2026-05-28,Pending,
LR00309,TN0330,Casual Leave,2026-07-20,2026-07-22,Approved,
LR00310,TN0146,Casual Leave,2026-02-03,2026-02-04,Rejected,
LR00311,TN0471,Earned Leave,2026-05-16,2026-05-16,Rejected,
LR00312,TN0009,Casual Leave,2026-01-18,2026-01-19,Approved,
LR00313,TN0371,Earned Leave,2026-03-19,2026-03-20,Approved,
LR00314,TN0205,Earned Leave,2026-01-21,2026-01-23,Approved,
LR00315,TN0314,Earned Leave,2026-01-13,2026-01-14,Rejected,
LR00316,TN0233,Casual Leave,2026-05-07,2026-05-09,Approved,
LR00317,TN0481,Casual Leave,2026-06-08,2026-06-08,Pending,
LR00318,TN0025,Casual Leave,2026-07-31,2026-07-31,Pending,
LR00319,TN0166,Sick Leave,2026-08-09,2026-08-11,Approved,
LR00320,TN0116,Casual Leave,2026-02-13,2026-02-13,Rejected,
LR00321,TN0462,Sick Leave,2026-07-27,2026-07-28,Pending,
LR00322,TN0479,Earned Leave,2026-06-26,2026-06-26,Pending,
LR00323,TN0057,Casual Leave,2026-01-13,2026-01-14,Approved,
LR00324,TN0169,Earned Leave,2026-06-26,2026-06-28,Approved,
LR00325,TN0358,Sick Leave,2026-02-13,2026-02-13,Approved,
LR00326,TN0062,Casual Leave,2026-02-02,2026-02-03,Rejected,
LR00327,TN0455,Sick Leave,2026-08-06,2026-08-07,Approved,
LR00328,TN0343,Sick Leave,2026-02-01,2026-02-03,Pending,
LR00329,TN0296,Earned Leave,2026-05-03,2026-05-05,Approved,
LR00330,TN0165,Earned Leave,2026-07-17,2026-07-19,Pending,
LR00331,TN0048,Sick Leave,2026-03-09,2026-03-10,Pending,
LR00332,TN0181,Sick Leave,2026-05-23,2026-05-23,Rejected,
LR00333,TN0377,Sick Leave,2026-08-08,2026-08-08,Pending,
LR00334,TN0039,Casual Leave,2026-09-06,2026-09-07,Pending,
LR00335,TN0007,Earned Leave,2026-06-21,2026-06-21,Approved,
LR00336,TN0097,Earned Leave,2026-05-05,2026-05-05,Pending,
LR00337,TN0417,Sick Leave,2026-06-01,2026-06-03,Approved,
LR00338,TN0390,Sick Leave,2026-08-30,2026-08-31,Approved,
LR00339,TN0336,Casual Leave,2026-02-09,2026-02-11,Pending,
LR00340,TN0113,Earned Leave,2026-08-23,2026-08-24,Approved,
LR00341,TN0445,Casual Leave,2026-06-08,2026-06-10,Approved,
LR00342,TN0097,Earned Leave,2026-01-18,2026-01-19,Pending,
LR00343,TN0352,Sick Leave,2026-03-20,2026-03-22,Pending,
LR00344,TN0076,Sick Leave,2026-04-29,2026-04-29,Pending,
LR00345,TN0124,Casual Leave,2026-01-05,2026-01-06,Approved,
LR00346,TN0015,Sick Leave,2026-05-02,2026-05-04,Approved,
LR00347,TN0181,Sick Leave,2026-03-09,2026-03-09,Pending,
LR00348,TN0182,Casual Leave,2026-04-21,2026-04-21,Approved,
LR00349,TN0258,Earned Leave,2026-04-21,2026-04-23,Pending,
LR00350,TN0226,Casual Leave,2026-03-11,2026-03-12,Pending,
LR00351,TN0333,Earned Leave,2026-04-08,2026-04-10,Pending,
LR00352,TN0151,Casual Leave,2026-02-18,2026-02-19,Rejected,
LR00353,TN0142,Earned Leave,2026-05-16,2026-05-18,Rejected,
LR00354,TN0222,Casual Leave,2026-01-28,2026-01-30,Rejected,
LR00355,TN0128,Casual Leave,2026-09-03,2026-09-03,Pending,
LR00356,TN0028,Sick Leave,2026-08-18,2026-08-18,Approved,
LR00357,TN0123,Casual Leave,2026-01-17,2026-01-19,Approved,
LR00358,TN0116,Sick Leave,2026-08-14,2026-08-16,Rejected,
LR00359,TN0208,Casual Leave,2026-04-11,2026-04-12,Pending,
LR00360,TN0376,Earned Leave,2026-07-30,2026-08-01,Approved,
LR00361,TN0106,Earned Leave,2026-02-13,2026-02-13,Rejected,
LR00362,TN0148,Earned Leave,2026-06-30,2026-07-02,Rejected,
LR00363,TN0002,Sick Leave,2026-01-25,2026-01-25,Rejected,
LR00364,TN0319,Earned Leave,2026-05-03,2026-05-05,Rejected,
LR00365,TN0123,Sick Leave,2026-02-13,2026-02-14,Pending,
LR00366,TN0086,Earned Leave,2026-02-17,2026-02-18,Pending,
LR00367,TN0493,Earned Leave,2026-01-04,2026-01-06,Approved,
LR00368,TN0172,Earned Leave,2026-01-06,2026-01-06,Pending,
LR00369,TN0088,Sick Leave,2026-06-23,2026-06-23,Approved,
LR00370,TN0497,Casual Leave,2026-05-02,2026-05-04,Approved,
LR00371,TN0448,Casual Leave,2026-03-05,2026-03-06,Pending,
LR00372,TN0420,Sick Leave,2026-01-05,2026-01-07,Approved,
LR00373,TN0428,Sick Leave,2026-02-28,2026-03-02,Pending,
LR00374,TN0387,Casual Leave,2026-02-07,2026-02-07,Approved,
LR00375,TN0412,Earned Leave,2026-07-08,2026-07-09,Approved,
LR00376,TN0377,Earned Leave,2026-03-31,2026-04-02,Rejected,
LR00377,TN0250,Earned Leave,2026-03-06,2026-03-07,Pending,
LR00378,TN0424,Sick Leave,2026-04-01,2026-04-02,Approved,
LR00379,TN0457,Sick Leave,2026-05-13,2026-05-15,Approved,
LR00380,TN0058,Sick Leave,2026-03-11,2026-03-13,Rejected,
LR00381,TN0328,Earned Leave,2026-01-06,2026-01-06,Pending,
LR00382,TN0338,Earned Leave,2026-02-06,2026-02-07,Pending,
LR00383,TN0126,Sick Leave,2026-05-28,2026-05-30,Approved,
LR00384,TN0185,Casual Leave,2026-02-22,2026-02-24,Pending,
