employee_id,casual_leave,earned_leave,sick_leave,wfh_days_used
TN0084,8,15,8,5
TN0085,9,15,8,2
TN0086,6,15,5,7
TN0087,7,10,8,5
TN0088,6,20,5,5
TN0089,8,13,8,5
TN0090,3,11,10,2
TN0091,12,5,9,3
TN0092,9,14,3,6
TN0093,12,20,4,4
TN0094,5,13,4,6
TN0095,8,7,9,7
TN0096,11,17,10,8
TN0097,8,6,7,8
TN0098,11,7,3,3
TN0099,12,16,4,0
TN0100,11,17,7,6
TN0101,3,5,3,4
TN0102,5,12,9,5
TN0103,8,19,10,2
TN0104,7,5,9,1
TN0105,6,18,3,1
TN0106,4,16,6,5
TN0107,9,11,10,7
TN0108,7,20,3,7
TN0109,9,15,3,4
TN0110,2,8,2,5
TN0111,12,8,4,3
TN0112,10,10,10,2
TN0113,7,18,9,3
TN0114,8,10,4,6
TN0115,8,5,5,7
TN0116,11,18,8,0
TN0117,5,11,6,1
TN0118,11,8,10,2
TN0119,7,15,5,7
TN0120,3,13,9,8
TN0121,12,15,8,6
TN0122,11,8,7,5
TN0123,9,10,6,1
TN0124,12,9,7,1
TN0125,5,14,3,2
TN0126,7,9,10,6
TN0127,8,9,8,6
TN0128,4,20,10,2
TN0129,10,10,9,4
TN0130,4,10,7,7
TN0131,11,6,7,0
TN0132,9,9,5,6
TN0133,10,20,8,7
TN0134,8,19,9,2
TN0135,3,5,5,4
TN0136,2,13,5,8
TN0137,6,10,9,7
TN0138,10,8,3,4
TN0139,10,16,10,0
TN0140,9,11,8,1
TN0141,12,12,6,0
TN0142,9,13,7,1
TN0143,9,8,5,3
TN0144,11,16,8,2
TN0145,11,9,5,3
TN0146,2,16,10,4
TN0147,11,10,7,4
TN0148,6,13,10,1
TN0149,4,18,2,4
TN0150,12,9,4,3
TN0151,4,15,5,6
TN0152,9,9,6,6
TN0153,8,19,3,1
TN0154,8,13,7,7
TN0155,9,15,2,1
TN0156,9,16,3,8
TN0157,8,11,8,3
TN0158,9,13,7,4
TN0159,7,9,9,5
TN0160,12,6,2,1
TN0161,12,19,2,1
TN0162,4,19,9,0
TN0163,8,11,4,4
TN0164,4,13,3,5
TN0165,6,7,7,2
TN0166,2,17,6,3
TN0167,8,7,3,0
TN0168,5,20,3,2
TN0169,11,12,10,7
TN0170,2,5,7,1
TN0171,8,9,9,1
TN0172,5,17,3,1
TN0173,3,15,7,4
TN0174,4,17,4,2
TN0175,3,5,4,7
TN0176,7,11,4,6
TN0177,11,19,5,1
TN0178,3,9,3,6
TN0179,7,18,7,2
TN0180,5,13,3,3
TN0181,10,14,2,4
TN0182,5,11,8,4
TN0183,12,6,5,7
TN0184,8,8,5,7
TN0185,12,7,10,0
TN0186,7,15,4,6
TN0187,11,18,7,8
TN0188,12,10,9,1
TN0189,2,7,2,4
TN0190,5,6,2,6
TN0191,10,14,10,6
TN0192,8,17,3,8
TN0193,10,9,6,1
TN0194,6,7,10,3
TN0195,4,15,8,1
TN0196,6,18,5,0
TN0197,5,7,8,1
TN0198,9,6,6,2
TN0199,3,5,4,0
TN0200,4,20,7,8
TN0201,10,13,4,5
TN0202,4,13,3,0
TN0203,7,18,6,8
TN0204,3,13,3,7
TN0205,9,16,2,7
TN0206,11,10,7,2
TN0207,6,8,3,3
TN0208,10,5,2,0
TN0209,5,6,9,5
TN0210,8,9,4,0
TN0211,10,18,5,5
TN0212,5,18,7,4
TN0213,3,16,3,8
TN0214,12,6,4,3
TN0215,10,6,8,1
TN0216,9,14,6,5
TN0217,3,19,2,5
TN0218,5,14,6,3
TN0219,9,16,9,3
TN0220,10,12,4,0
TN0221,8,5,5,8
TN0222,7,5,7,0
TN0223,12,17,6,1
TN0224,5,12,8,7
TN0225,2,9,6,1
TN0226,2,12,10,6
TN0227,7,19,3,1
TN0228,10,9,8,1
TN0229,11,6,8,2
TN0230,5,14,6,5
TN0231,8,15,7,7
TN0232,6,12,3,3
TN0233,4,8,4,1
TN0234,4,19,9,5
TN0235,8,8,10,5
TN0236,5,19,6,7
TN0237,6,8,3,2
TN0238,12,14,2,3
TN0239,7,9,3,3
TN0240,7,17,10,0
TN0241,12,14,6,2
TN0242,2,17,9,8
TN0243,10,12,3,7
TN0244,3,9,3,0
TN0245,2,12,4,3
TN0246,8,16,3,4
TN0247,3,5,3,3
TN0248,12,19,4,1
TN0249,7,8,2,7
TN0250,2,10,8,6
TN0251,9,5,8,6
TN0252,4,16,5,2
TN0253,6,13,9,2
TN0254,2,12,6,7
TN0255,8,20,2,1
TN0256,6,17,4,6
TN0257,5,12,10,0
TN0258,8,16,9,8
TN0259,9,16,10,5
TN0260,8,13,4,0
TN0261,7,12,2,4
TN0262,2,20,10,5
TN0263,11,12,4,1
TN0264,5,12,6,8
TN0265,2,12,8,5
TN0266,4,10,5,5
TN0267,7,5,7,2
TN0268,11,11,9,8
TN0269,6,10,9,0
TN0270,3,6,5,3
TN0271,2,20,2,5
TN0272,11,11,4,5
TN0273,4,15,2,0
TN0274,4,9,3,8
TN0275,7,7,7,6
TN0276,11,8,7,4
TN0277,7,9,4,6
TN0278,12,20,7,2
TN0279,10,16,5,2
TN0280,8,14,6,2
TN0281,4,5,8,0
TN0282,4,15,5,1
TN0283,9,9,7,1
TN0284,5,16,7,2
TN0285,12,7,7,7
TN0286,2,13,5,3
TN0287,3,16,6,1
TN0288,2,6,8,7
TN0289,8,10,8,7
TN0290,8,16,10,6
TN0291,3,20,5,2
TN0292,9,7,2,4
TN0293,2,15,6,1
TN0294,3,15,4,6
TN0295,4,7,10,1
TN0296,7,20,2,6
TN0297,12,10,8,2
TN0298,2,8,7,3
TN0299,5,18,10,8
TN0300,6,14,6,3
TN0301,3,6,8,8
TN0302,9,9,2,5
TN0303,2,18,3,4
TN0304,12,20,5,1
TN0305,2,11,4,4
TN0306,3,20,3,4
TN0307,8,20,9,4
TN0308,3,17,4,5
TN0309,8,16,4,7
TN0310,2,13,9,7
TN0311,6,12,6,0
TN0312,4,8,3,5
TN0313,10,18,5,8
TN0314,2,17,10,6
TN0315,10,20,5,7
TN0316,6,7,8,0
TN0317,10,9,3,7
TN0318,4,10,5,3
TN0319,4,6,8,1
TN0320,12,18,5,2
TN0321,11,13,7,1
TN0322,3,17,10,6
TN0323,10,15,6,8
TN0324,9,5,10,6
TN0325,3,18,4,2
TN0326,11,8,3,1
TN0327,6,16,8,4
TN0328,8,20,9,0
TN0329,4,13,8,2
TN0330,11,17,2,6
TN0331,7,12,2,7
TN0332,6,16,2,5
TN0333,6,14,6,7
TN0334,12,8,5,2
TN0335,6,19,7,4
TN0336,8,7,5,7
TN0337,5,18,9,8
TN0338,7,6,10,2
TN0339,3,14,10,6
TN0340,4,5,4,3
TN0341,5,6,5,0
TN0342,9,6,7,3
TN0343,6,16,9,8
TN0344,8,8,2,3
TN0345,7,20,9,2
TN0346,9,16,7,2
TN0347,6,7,6,0
TN0348,8,6,4,3
TN0349,5,12,5,4
TN0350,12,18,10,0
TN0351,12,5,9,2
TN0352,12,10,2,3
TN0353,6,14,6,6
TN0354,8,16,9,4
TN0355,5,19,6,8
TN0356,11,17,3,0
TN0357,10,16,10,4
TN0358,6,8,9,1
TN0359,7,13,7,4
TN0360,6,14,5,2
TN0361,10,12,2,6
TN0362,12,15,4,0
TN0363,12,20,6,4
TN0364,8,17,8,0
TN0365,11,11,7,3
TN0366,12,20,7,8
TN0367,6,10,10,2
TN0368,6,8,9,2
TN0369,6,10,7,1
TN0370,5,16,5,4
TN0371,8,15,7,4
TN0372,11,14,9,1
TN0373,9,6,3,7
TN0374,5,8,8,8
TN0375,6,18,2,2
TN0376,4,11,7,6
TN0377,11,19,4,5
TN0378,4,7,9,5
TN0379,12,10,7,0
TN0380,2,19,6,3
TN0381,4,10,9,1
TN0382,4,18,8,6
TN0383,8,20,8,0
TN0384,2,11,7,0
TN0385,7,11,2,0
TN0386,12,12,5,5
TN0387,6,9,3,6
TN0388,10,14,4,1
TN0389,2,14,6,7
TN0390,10,15,8,2
TN0391,7,20,7,3
TN0392,4,17,2,3
TN0393,5,9,5,0
TN0394,11,10,3,5
TN0395,12,6,8,4
TN0396,10,6,2,1
TN0397,12,5,2,1
TN0398,8,19,8,1
TN0399,10,13,9,2
TN0400,5,5,6,6
TN0401,12,8,10,4
TN0402,11,9,8,1
TN0403,10,8,6,1
TN0404,3,20,5,3
TN0405,6,11,7,6
TN0406,6,10,2,8
TN0407,9,11,9,5
TN0408,5,5,2,1
TN0409,3,20,4,1
TN0410,10,7,3,4
TN0411,12,12,9,4
TN0412,6,19,2,1
TN0413,4,6,6,5
TN0414,12,15,8,1
TN0415,3,6,2,2
TN0416,12,10,7,5
TN0417,9,13,3,5
TN0418,7,10,3,6
TN0419,8,19,6,6
TN0420,9,18,4,1
TN0421,4,6,4,1
TN0422,8,20,9,2
TN0423,11,17,7,0
TN0424,12,9,9,7
TN0425,3,18,9,0
TN0426,3,13,7,0
TN0427,12,12,7,8
TN0428,10,8,8,3
TN0429,9,16,8,2
TN0430,10,6,2,2
TN0431,10,20,9,2
TN0432,3,20,7,3
TN0433,7,13,2,8
TN0434,5,17,8,3
TN0435,3,19,9,7
TN0436,3,20,9,5
TN0437,3,20,2,1
TN0438,8,18,2,8
TN0439,10,5,3,4
TN0440,10,11,9,5
TN0441,7,6,5,7
TN0442,7,20,7,7
TN0443,3,8,5,0
TN0444,7,16,6,8
TN0445,10,16,3,0
TN0446,4,20,4,6
TN0447,3,13,5,3
TN0448,3,17,5,7
TN0449,5,15,3,6
TN0450,2,8,9,7
TN0451,12,9,9,0
TN0452,10,6,10,6
TN0453,11,20,10,2
TN0454,11,10,4,1
TN0455,8,15,10,6
TN0456,8,12,6,6
TN0457,7,14,9,2
TN0458,4,18,10,4
TN0459,10,15,10,3
TN0460,5,11,6,5
TN0461,12,9,4,8
TN0462,10,15,3,5
TN0463,10,20,8,8
TN0464,6,18,2,8
TN0465,3,5,8,2
TN0466,2,6,5,4
TN0467,4,14,6,2
TN0468,2,14,5,8
TN0469,2,16,9,1
TN0470,11,12,10,6
TN0471,5,14,2,6
TN0472,8,18,7,8
TN0473,2,5,6,3
TN0474,11,19,5,5
TN0475,11,11,5,4
TN0476,9,10,3,2
TN0477,4,8,8,0
TN0478,8,13,10,4
TN0479,4,10,6,0
TN0480,7,19,4,0
TN0481,4,15,2,4
TN0482,9,16,3,5
TN0483,10,12,4,8
TN0484,3,10,8,8
TN0485,10,17,3,5
TN0486,5,11,7,5
TN0487,7,14,5,8
TN0488,9,5,3,5
TN0489,9,12,5,0
TN0490,12,15,8,1
TN0491,8,13,10,4
TN0492,2,16,10,8
TN0493,9,20,2,4
TN0494,12,11,7,8
TN0495,3,8,4,8
TN0496,10,5,3,3
TN0497,12,11,8,1
TN0498,5,18,3,2
TN0499,2,19,7,0
TN0500,3,7,2,2
